Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
5704.9440289677395,5376.607799560526,61.673124379114306,100.0,4102.177611284126,10955.696935620137,6416.882594309519,0
5504.1788868182875,4732.887687234617,52.759177416194085,100.0,2351.1667022844263,10307.580468036906,5915.954865107038,1
5481.255269505213,3988.282293834941,65.8461185154039,100.0,12378.970157963984,7486.360648974918,5435.7639656946585,2
3958.320405571513,3654.437106989411,80.11648921388982,100.0,6774.884391651543,7217.047952779873,4966.520419216838,3
4546.360372970526,3584.1552175777024,63.08547919727849,100.0,2207.7172358819585,11328.245229813707,4545.883438071525,4
3364.8089671059447,2932.304029799983,55.30184711406823,100.0,6696.53206920248,8578.330434605623,4221.544791639008,5
4058.281672736232,2330.4771564199386,50.87282254724565,100.0,11531.609413726985,7013.44114503268,3913.9329231052816,6
2992.269440283961,2415.9649697324926,83.95512597766385,100.0,230.72335835608638,12128.04726032292,3646.1378217895863,7
3215.178016821878,2058.525178085598,69.56973271824592,100.0,5788.9559224893155,10097.469521506562,3330.7678709894526,8
2684.1249034638913,2115.9305276852574,73.10259977780981,100.0,5024.625609436948,8706.597864642945,3176.857284682035,9
2570.423032362059,1544.4043128746862,59.996543516048284,100.0,18536.08088815938,4697.552217420052,2787.9730153345454,10
2659.845056154774,1572.054895708785,66.65526269544976,100.0,12768.72714051373,5036.730801885835,2548.6670191060575,11
2091.3174889744373,1600.9091865128266,81.85759743069157,100.0,5099.898675170715,9776.836137186268,2483.284890212275,12
2212.7928264944067,1129.598076987566,68.72693669448532,100.0,9565.873071683476,6800.679453641179,2342.22639809666,13
2510.6820774232287,873.7885517535187,75.56016227975817,100.0,15815.59020586966,4071.756980823189,2339.1874272177884,14
1967.8695358568725,632.8333700967332,70.47068262788406,100.0,16543.429987231288,4019.077164486457,2159.1214960156094,15
2387.2719627629526,946.5041866403008,77.47353240324489,100.0,16615.831525611673,4434.885267540142,2175.8213936551374,16
1777.452698427801,949.6666987820336,100.0,100.0,3503.251072921254,9468.014674672848,2058.7003793034037,17
1150.9580638059424,557.5603073682068,100.0,100.0,13059.398992152463,6330.565301830794,2168.9264678247137,18
582.6826126767937,167.9601215297398,100.0,100.0,8926.589636299877,7292.722834476172,2344.941494202786,19
1326.5898603479136,24.88576551602091,100.0,100.0,2109.057925348603,11714.446139485093,2406.484640278224,20
2049.4876928725134,327.8321136048371,71.37911081107927,100.0,5882.472063015369,9333.907972442095,2465.866853322438,21
945.7056108608322,5300.0,100.0,100.0,1669.2620718276996,9547.453207618499,2598.8111408522045,22
1847.2967651740328,59.270677659987086,100.0,100.0,7239.904149219581,9117.872682308294,2843.806358312796,23
660.8428216953098,5300.0,100.0,100.0,7079.850303782742,8157.71244267843,3170.41587902278,24
1851.3388208999395,168.49664177626528,88.8091800775118,100.0,305.37918614420124,10444.006644780924,3477.594906698167,25
301.40781750196584,5300.0,97.29818042045123,100.0,7168.821588171985,8121.7445946332155,3868.199739848787,26
807.3276725619808,63.83225933575977,100.0,100.0,16387.943847346116,5240.930140470123,4208.2349546992755,27
965.5260765325083,578.0564553969834,84.55550078330369,100.0,19557.144900835814,3762.1689644640537,4567.075781969106,28
2073.0491777847838,1111.858324749429,72.62392256142759,100.0,2596.953364005816,8991.657047169921,4833.094252300068,29
2626.151029271427,1252.310386026059,79.27780748569059,100.0,15974.394119368793,5646.546887342965,5131.018311019756,30
2187.5100731269345,1086.5948330112851,70.32852698139968,100.0,1897.4581898515087,9994.475503162112,5306.022141530052,31
3122.6293930763586,1357.426368645135,80.0564453867559,100.0,10484.134695609442,5553.580259686885,5752.733490239905,32
3373.742319038984,1931.678468898128,89.56967599905065,100.0,9607.000817456843,6085.750922736264,6039.434119252966,33
3907.74741251659,2501.495988455795,77.91198174359032,100.0,5286.16748124908,8277.972963567065,6278.155992113962,34
3660.1823226644233,2564.0691776545605,53.70418374713654,100.0,17853.813574970274,4307.90134677691,6511.066271286466,35
3331.5900343043586,3044.042612017097,64.11325258527906,100.0,256.2465355881249,12278.885125077713,6933.369531219007,36
4544.642776243738,3608.994140417529,32.788267495611514,100.0,12640.091336217534,4972.493753287864,7344.60943821311,37
4542.342106286174,3960.6601865853117,39.20715915442274,100.0,14381.692418412711,5910.397627132423,7581.860502839356,38
4934.368836717409,4442.261466435057,59.40617390017012,100.0,1066.8013437456225,11120.288512220955,7923.097061610714,39
5834.330423991625,4458.9196356011835,43.55084665780825,100.0,3972.212630403389,8904.037016545491,8081.415539869081,40
5500.721221078713,5032.417966677601,29.695754438330297,100.0,9145.028905022067,8228.712126609249,8245.541920623635,41
5832.742275740587,5183.032187894689,41.28795775015523,100.0,11169.385467736174,6707.628301137511,8299.487795371018,42
6749.897480167083,5868.984306960103,48.13892316347584,100.0,15418.683318582449,4984.9952640559,8588.20530484316,43
7564.844599457554,6367.991093115628,14.906724010868567,100.0,4527.288876298799,10513.253267854745,8702.205317909189,44
6593.238099327952,6365.629141847656,15.704756610601097,100.0,8617.731983174055,6972.350884866427,8688.206576678343,45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
