Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
6103.013853785796,5843.025411341857,15.322662913859897,100.0,17714.78677762837,3370.819737514533,6498.162520248322,0
5691.460411398857,5420.855739344521,57.385369128085856,100.0,5270.562715350482,8651.483511375138,6111.5624156048225,1
6722.336589411594,5289.425398912064,40.179490742498736,100.0,18803.08686583209,2393.231728933852,5670.558956794092,2
5213.53935918446,5134.530123338459,39.49479431729607,100.0,258.14484605948263,12130.68298073633,5220.235958335268,3
5521.419883344682,4782.9699848012415,55.45941201866083,100.0,12012.04191274921,5970.21803649451,4873.9120974564685,4
5206.55515466556,4150.036460793496,50.249185671742296,100.0,14668.07400998084,4199.719160809596,4454.569064399697,5
4152.6038097711935,3984.835058480867,74.12796626241416,100.0,1059.6593145545087,10157.973677866219,3933.844321756472,6
5124.474573848953,3950.0684258317933,40.28078539547323,100.0,13447.975049364066,4932.7807403303395,3517.838365661556,7
4377.877968564178,3801.126174426732,45.628975589556646,100.0,2777.713632128005,10629.011152953763,3324.909102188782,8
3730.1152875531097,3532.6263749674863,44.543533764662214,100.0,19819.28299828968,1540.6440379011842,3001.383467644732,9
3465.528957510288,3024.3289451000715,75.50716176585823,100.0,12797.382930438303,6146.862710374596,2666.3913695313186,10
3582.490876635272,2671.8951697306215,57.64619179120269,100.0,3443.7817411162496,8899.425195825977,2307.2280270814026,11
3511.2321274788674,2317.9813028737285,47.06091966689143,100.0,17822.497168550337,2934.905406796856,2069.732003726129,12
4077.6986497787148,2376.9705759564163,58.7395806848254,100.0,4311.099874855864,10602.028601403214,1801.3059194508078,13
3498.4417214111877,2262.1821834427183,84.26692201378711,100.0,15413.03990113148,5376.896760556345,1571.3866893763925,14
3391.9674470034265,2190.5261995205406,81.49360433231881,100.0,16663.464919827977,5671.17694023485,1520.3369631597088,15
2154.3634853300764,1680.4164507299101,100.0,100.0,10434.116059008913,6234.402316213176,1413.526560901857,16
3232.730150131677,1821.0238685984004,86.29027463124274,100.0,16516.246084919763,5555.9634409341725,1557.8820065121163,17
2575.561471689704,1397.0608493658501,67.59581052270028,100.0,10827.22136693679,7173.860366609352,1559.176963093425,18
2694.85409079905,1026.5062738776933,93.58632975158277,100.0,9970.104976427692,6530.926389192364,1785.6335155739462,19
1758.5561541705347,1054.310253698819,100.0,100.0,16037.105098713433,4266.758803599738,1772.8359378251544,20
2106.2731927275418,1083.3539484235434,100.0,100.0,19270.461741805466,4167.03673450423,1878.4617513510648,21
2979.265310364839,1277.3948370484914,77.47037913546768,100.0,8839.295092211012,9053.543478501224,1929.621986694685,22
