Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
6082.084086943791,5470.3769029210225,56.85017407524661,100.0,9888.729931408669,7852.894270882741,6479.939318924712,0
5517.661930687103,4702.291566962871,39.23079385232237,100.0,14154.753009937544,5306.9420365666665,6168.061962889964,1
4425.03268389555,4038.173718252956,35.42389282985028,100.0,13696.968207756205,6173.820489345197,5609.02326730481,2
5073.509730043972,3658.1647733986165,69.79719000146147,100.0,436.2291680773933,12258.319566117472,5053.045909081402,3
4799.354569253914,3708.3126681376893,31.731356632082935,100.0,1748.3262727960393,10027.470366040037,4701.788128477676,4
5272.301267279729,3725.6648995917412,64.79958041477894,100.0,6766.729933535423,7596.818537605732,4425.57443124046,5
3641.531807344318,3475.363246697514,56.2393694457394,100.0,1055.763179983389,11201.767551188883,4118.221041160028,6
3905.283625627154,3326.9201740036756,77.91747473693181,100.0,11400.857218652158,6611.877331869072,3891.589256856058,7
4288.184716695289,3202.3234914502173,54.28048430218044,100.0,5030.130194162721,7856.088383765794,3584.141261579716,8
2834.5901853057358,2621.3944624306905,59.59712729786013,100.0,16323.1997141034,4873.421680039194,3166.743577304437,9
4175.809950877308,2714.2348263511212,56.59279169548512,100.0,1664.5553749526366,9414.454075720476,3014.7783174558163,10
2885.3284328165914,2289.897072027551,65.18275201955109,100.0,5524.0003944339605,9729.005311059622,2844.8660244189687,11
2155.423735533766,1829.3044117014624,74.41710195567399,100.0,11874.983627936726,5439.1326515256615,2644.3545300504784,12
2836.5321894581193,1515.8947897731468,82.93083156276262,100.0,14179.011822115244,5086.000233122199,2593.667972648065,13
2707.4180891922556,1568.9371671464341,96.48358175187614,100.0,14948.762847585664,6056.108344106547,2503.5955829067816,14
3159.8782967941343,1628.9775986508293,91.65772824791065,100.0,14929.074376385954,5026.030802475014,2408.8208411942596,15
2476.2274477024575,1192.9652993857471,96.33253851556042,100.0,4768.056161138275,9214.12946930909,2342.1931123373615,16
2390.96134432949,1473.4233221462528,85.64017967242573,100.0,9502.041156253852,6544.598075851169,2402.3596197274337,17
3163.8615222670505,1703.6791465752149,64.47865904288216,100.0,6910.624980832529,8080.570762487495,2540.468228425344,18
2352.4928405817727,1764.1850372730478,69.86203524967686,100.0,678.5922843463843,11042.885431846893,2428.2840635006196,19
2938.980707987483,1600.2673116331362,86.51680788676569,100.0,19917.882330418393,2447.2676203041096,2495.6484771048754,20
2620.2681682209304,1580.6111349785233,68.45623645877626,100.0,12249.523887304233,7159.393701727383,2470.9894553321765,21
