Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
5449.495014487816,5219.476395755508,31.10007301836006,100.0,8003.597481089638,7397.799003460578,6610.583554027436,0
5784.5997129276875,4793.147743562589,47.20090226600565,100.0,7135.2999342453895,8860.947708765529,6077.618817406035,1
5120.814981072134,4276.734480344292,33.129644355497845,100.0,13504.838290109656,5086.5092043902805,5775.279253752307,2
4347.40144104274,3594.5597733651784,35.65682592062559,100.0,575.6743290791744,11588.612153658856,5281.365359402091,3
4169.451247313404,3450.7435057495272,77.91669373922039,100.0,15571.634508853422,4613.676874796003,4762.79418974773,4
3014.59874893826,2791.7374050629915,61.8677721698827,100.0,5630.639208219597,9429.055200544673,4293.692231429472,5
3095.3409510512674,2513.1068628032012,81.72167186457514,100.0,14208.784561510673,6166.2035771002,3913.8551193640983,6
2686.3649239299243,1932.8988993228168,93.42619826658944,100.0,16929.9338167563,4454.345486689048,3538.333825117174,7
2290.3806715293726,1552.7332454552725,76.32847060523372,100.0,3128.459002002011,10765.42357591376,3322.392185544193,8
2044.2850928873863,1145.7149061725231,100.0,100.0,19024.17901338413,2958.2283767756708,3120.570566163845,9
2378.1138061278616,1049.428110559552,100.0,100.0,5589.422808473414,7728.576880731415,2888.3328502472295,10
1253.7826483084145,756.0006830403236,84.69816471117505,100.0,5325.328722714995,8799.95919934491,2555.545658948524,11
1549.3988643702078,298.97278813179946,100.0,100.0,17628.428323577664,3305.3879858841506,2383.6460786946045,12
1278.129304037816,396.9394718092435,100.0,100.0,2652.7777442786714,9154.137026854458,2316.512117452219,13
716.3871912259701,317.4958494297971,100.0,100.0,7562.187498103596,9201.126757440616,2153.743629108825,14
1271.8967515039612,3849.0,100.0,100.0,12864.877879386288,4903.430571974078,2012.3382384258894,15
1341.3636705538083,3849.0,90.29075253600358,100.0,18005.666368599253,4720.258602255424,1910.8016758695558,16
1482.0624094694867,173.8138965598555,100.0,100.0,2232.5874692586644,10412.751475601215,1880.709362849395,17
1966.9795392337624,405.35932992039216,100.0,100.0,8654.971452519123,8902.695759022703,2010.0143147089684,18
2161.0362329421305,443.0180104133915,72.62323599176486,100.0,9668.359080940545,6070.594304312359,2127.8949854943885,19
1628.4989541492196,718.5554251448202,88.38308117150834,100.0,14249.710266157825,3991.130610632479,2234.8090655230926,20
2391.8365105446132,763.9184256926264,72.4124383209461,100.0,13885.5099642194,6234.515628520477,2374.0851030118893,21
1101.41384215188,407.0657459343911,80.8538460477556,100.0,404.098684346903,11985.569425282189,2379.519502188534,22
2049.379938171586,566.7676902002277,65.02366703932702,100.0,1290.320492554009,10881.483125946408,2440.4102848501298,23
1347.9758228685105,270.8890575734167,85.2621342194834,100.0,5357.888262661221,9296.78765353104,2695.0626386265358,24
1395.1207850002984,396.1019324534018,99.26912717850378,100.0,6869.251258134701,7064.066609018398,2900.627898245578,25
1051.2530170927366,248.11169523549052,77.31508659934545,100.0,13161.38802397367,6726.017110940032,3211.553185466056,26
1453.5408999749097,6.795684433337556,73.08080305359222,100.0,9374.09953113401,7559.273891663162,3478.2219548784383,27
1308.1718864233344,216.8498399107575,100.0,100.0,7027.518197717157,7811.682110984236,3840.9594511655696,28
1623.805914365792,619.1767700521214,100.0,100.0,15702.725346092859,4105.339316298948,4281.376603632771,29
1570.435851838597,770.063692369904,97.6680140599807,100.0,2152.924278362345,9168.440541153845,4492.643843393311,30
2284.7561346221532,865.8724052507414,80.43161253557679,100.0,3001.834961407106,10125.457116433716,4963.724019953059,31
2341.983691200642,1482.922541264369,98.2420180624041,100.0,18800.463619676368,3187.111933988472,5445.5818257809005,32
2826.3742113001517,1399.4018132563606,82.113130908203,100.0,14211.4005628098,6380.489230770284,5668.0623647221255,33
2140.7820633545225,1528.9769076971215,76.6101967750028,100.0,13188.772319450018,6080.224141111615,6026.287107582435,34
3216.7624228247473,1657.8391923606532,57.36792367629666,100.0,11975.809582573067,6690.35339777634,6363.989404918652,35
2638.860691568698,2101.195105320373,85.82086369150502,100.0,16175.215512726138,4658.454635697772,6644.221165185234,36
4027.004013651559,2325.1297059310714,67.25934058895348,100.0,13859.66237307999,5830.148003221262,6987.583956187972,37
2685.2516713840087,2408.035378580838,60.296097712298135,100.0,11607.18888842733,5411.727144043145,7193.226334269586,38
4074.871419162486,2729.044563281266,64.26842004692709,100.0,18281.256165826642,4226.129508999309,7615.182259662553,39
4190.112871787235,3434.288161691781,65.8033961918798,100.0,18036.283152043103,3952.360537609078,7799.968094291798,40
4403.109153165648,3517.5108394904782,55.669832192910064,100.0,1249.143018611958,10858.118444376472,8046.491236580725,41
4414.845575428118,4161.610983219412,51.472947570695744,100.0,4985.938544337645,9103.80174311734,8411.575327065952,42
4835.984960713469,4546.445311044601,30.240699269521198,100.0,18796.169060470107,3206.31639608059,8596.851275564663,43
6701.207242874225,5378.220140359512,29.32489485244082,100.0,7677.290365648334,8801.47852893625,8700.708536220382,44
