Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
6662.813604036411,5227.182179551424,27.43803967633434,100.0,10785.701135695066,7716.9272208462235,6590.2183606147355,0
5668.878969123651,5169.08077119043,44.22441075894474,100.0,14097.469768193385,4994.580965659478,6036.829015868669,1
5964.045773992186,4779.695987874016,24.666393718434453,100.0,649.7150735661638,11334.120050643069,5668.483387083079,2
4763.351879263724,4350.904615601168,52.399857741767704,100.0,11944.028885980988,5855.907270612996,5245.066665578138,3
5383.1397020188315,4200.450309019658,23.861748574143512,100.0,8790.21056203771,8010.791179353308,4952.59470990997,4
5021.377055080226,4169.581952596942,62.45608959486136,100.0,19809.44687864616,3601.3239032975653,4525.612630244265,5
4055.414037750663,3588.6585062975696,70.67355459604838,100.0,3148.5954496568993,10266.416628555118,4268.654616853428,6
3527.577393614371,3242.133334088749,51.49259411073452,100.0,16871.88994011585,4661.757560028186,3787.7644984477097,7
4154.702353186636,3056.9866338849374,74.55427643429624,100.0,11458.402537289263,7217.819454958932,3431.565964552716,8
3224.680278931798,2520.6504875959745,71.36226888696143,100.0,6702.219440767623,7817.8469621428185,3256.655775700902,9
3224.6688682245526,1922.2289674720637,83.78107151822164,100.0,9047.31157423931,7180.1220357629345,2996.07884803388,10
3175.675984809654,1768.7555460626218,92.27937011427828,100.0,1400.743628976706,10180.203826868179,2634.834334272962,11
3105.8568476664022,1697.0788881239778,66.62897898972142,100.0,7185.046251530969,8770.924523999698,2553.58229990972,12
3074.286238050046,1659.2395074037413,62.60049465580782,100.0,17543.23328931457,3193.4825880752805,2468.527201625049,13
2297.9697761177754,1828.531094658474,94.45533648350181,100.0,18063.083493859147,3148.20579063015,2446.3467319937035,14
3762.559889648411,2052.9913090636737,80.44844842937557,100.0,14121.781426368754,5450.215716729636,2341.913037700535,15
3521.8894069542143,2101.730051593293,49.410454079058276,100.0,11261.119098168521,5501.43415404498,2261.5913625467247,16
3104.996780197489,1849.837419771422,84.90167857871515,100.0,4764.001880769093,10006.101517553176,2114.923571952937,17
2459.5929916738205,1443.7717395611007,60.23202927169006,100.0,10385.71474891237,6316.827455336974,2155.655275778786,18
3402.469646898014,1683.5508012101081,62.65829467461166,100.0,7119.583021390299,8500.141226471555,2072.4917827288,19
3265.014914464739,1701.5145460896101,67.14155899298214,100.0,11779.325330590007,7223.0874216839675,2031.824810523738,20
3399.1099250745347,1832.5697709226251,79.58197766361417,100.0,9433.883929000493,6922.4603552538565,2270.7671056413383,21
2134.650191036736,1817.0282853407261,97.771331337172,100.0,17346.27556962916,2979.665719054929,2438.432679979226,22
3499.1733074479534,2137.716541844519,59.05400480959309,100.0,18809.14064255832,3383.1550357745446,2588.0265340871274,23
3329.0016580389456,1944.7601737375903,88.78420253654097,100.0,5335.017955258574,7987.939301678371,2655.3091545145226,24
3520.4884589225308,1783.1420204130682,57.87145611686838,100.0,13239.9707322917,6423.752167692474,2914.5900649145683,25
2523.491882157335,1958.2062915367865,99.11633698172331,100.0,3298.23127288323,10175.728380342698,3173.727251057009,26
3571.681147656381,2026.110926983964,87.76170908511679,100.0,5325.944262024434,9497.895014820735,3358.447398858042,27
3461.1337155484557,2039.6467477764022,54.91432024902296,100.0,6197.770087952111,9116.609775358225,3739.0777458920024,28
2308.6301883574342,1847.2856130483951,71.86473198716222,100.0,5799.6066423974835,8169.236867268323,3901.4901977610293,29
3251.7123536473237,1905.1662582499544,78.37939613574741,100.0,15410.092831771344,3546.1880693390763,4147.172222674986,30
2988.7468642186714,1643.1703457072063,84.70239687529451,100.0,19970.031975948405,3765.8371910158307,4452.428995008279,31
2434.8705149994616,1363.331826176237,100.0,100.0,9220.680716642386,8010.032251821113,4937.169742496348,32
2371.1733406779235,1488.4796702555277,99.47685807713653,100.0,17140.87788706466,3421.2597482173633,5265.73969578188,33
2697.506320174166,1898.362389049954,81.96309067380837,100.0,1997.7464341481243,10579.454377849832,5712.828960279865,34
3213.496151008712,1971.1909944635204,68.89923994435682,100.0,14893.383384811423,4124.712434041379,5989.447781480899,35
2912.5076385903844,2064.2143983325827,78.96090267266703,100.0,13059.744544594181,6407.2290400186985,6335.063673965913,36
2578.7709826682967,1996.8680150099144,70.6880536491322,100.0,1304.0030347500897,9982.509756485562,6624.11734491164,37
3255.7845093516003,2152.371436130344,55.42911993347124,100.0,228.91971749803287,12436.52419436287,6846.499979171523,38
4121.562407527495,2685.1089933622147,77.58325116582118,100.0,288.6997550864723,10405.617415181443,7229.439845221468,39
4257.999920203391,2880.4889350511535,50.054424594958334,100.0,8431.067667138714,8793.301880055804,7412.278819201438,40
3571.393028502846,3067.222229307861,52.83334299234356,100.0,14833.735824564861,5868.369525700242,7675.22678339312,41
4679.711797127856,3219.438518677968,66.48032217545051,100.0,15470.656690885204,4298.01654980957,8030.8248895634615,42
5166.01074334082,3533.7791396902862,32.2787764558599,100.0,2879.8073403450176,9930.267386617681,8180.367978985274,43
4829.045641956862,4211.833541744599,39.89170114703329,100.0,7018.735437458586,8235.110376021346,8468.170360400367,44
5601.645805894401,4136.782939213475,63.78302112765209,100.0,7227.043959220226,7257.949149553672,8808.026823073718,45
5693.758952974752,4566.328252418676,54.49691832815119,100.0,12750.259441758977,6910.466714225327,9022.178325124503,46
5192.581365748452,4731.341901398073,30.26758340141905,100.0,17711.085101684963,2768.8357934046808,9183.96194195727,47
5884.775030088143,4823.489789406652,19.135062801780276,100.0,1626.624101014238,11707.475228649419,9225.524662939059,48
4414.586406600074,3618.4950474374864,35.96302198067434,100.0,5054.037055619456,9314.941835872472,9496.187341359271,49
6188.603246687527,4688.091538532812,25.330956141325892,100.0,17180.727617572335,3208.8287205670254,9506.862752568679,50
5463.690392025151,4172.068543010854,56.98264258964379,100.0,10054.121880874756,7830.9788010090115,9530.85674671148,51
4727.163769904322,4122.656928516663,35.507340982483214,100.0,8910.144262009171,8454.898879979295,9460.432566728823,52
4888.82257353073,4583.9441694809175,66.23174813830053,100.0,9979.192971376475,7280.367128898252,9596.90350123055,53
5347.064959146114,4791.047151781258,37.99471977202687,100.0,17267.184081955926,5246.113077432614,9707.957170082373,54
5676.669120821177,4112.2602433893735,51.84900831692866,100.0,6891.571855812077,8461.303268141994,9661.384437957775,55
