Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
6587.713460641392,5493.184345502916,41.147179648571466,100.0,19659.184506179754,2683.98774053475,6583.704710281079,0
5584.393159696567,5419.232872953743,51.16989295677947,100.0,2215.5983867163977,10767.896369082508,6015.74499444423,1
6118.965227867006,4899.244883979851,16.630017136512038,100.0,933.8490478753191,12269.206176031394,5698.459449735572,2
6091.353835652824,4630.840273714726,31.80151309347288,100.0,9972.131090421215,7774.457741390553,5347.892309973481,3
4883.699608316105,4309.552536578373,44.365047155711174,100.0,64.50807979841544,12444.401505713528,4828.342424896239,4
4190.248630040177,3802.872208257568,56.08147426827843,100.0,19783.70385184109,2717.486056238334,4444.870683061119,5
3408.155527198832,3226.9064398861556,53.81338029460429,100.0,13614.312933631172,5893.033006506795,3923.278933104041,6
4189.887409118235,3206.35462146598,41.20115448682827,100.0,16546.192623812094,4523.369652919798,3418.0089496708692,7
3069.585862809497,2712.9775260688043,87.81243865733626,100.0,10798.041835224278,7196.995189796942,3174.765892606489,8
3980.7537718229373,2852.503823052634,54.51084610051564,100.0,17339.642551416888,3245.8742846353207,2765.7550752928446,9
3623.496119467629,2917.0995156660465,53.781128950189576,100.0,19747.748770294886,3132.381480112645,2407.9420508238954,10
4398.427720442733,2915.985279343865,44.56243569268214,100.0,126.46375635191552,12011.972871154154,2288.7657651586533,11
3712.9734859589053,3006.0076916039725,45.96475224085923,100.0,1641.000097749614,9459.36269160285,2042.757899044851,12
3403.520871538386,2561.9661030761276,66.12034407418227,100.0,12065.855755848179,5651.824761776258,1989.8195593882283,13
2868.3378277349157,2296.3605163146385,55.365702572726136,100.0,5620.170738661045,9536.412675716167,1829.5616422937965,14
2989.157130444145,2095.7398244936458,60.003900091906885,100.0,2385.8782517318323,10850.04618283042,1754.7718142896229,15
3581.9881463995002,2003.49375379487,73.82487126153903,100.0,11637.040479409268,5554.44732384121,1824.9855489987394,16
2834.472304952349,2175.231680271817,70.36997724760744,100.0,9215.626322099872,6754.039646594262,1966.1956899982524,17
3250.122228590452,2201.740186845278,60.237659449295066,100.0,5217.522666460879,9229.327819424634,2143.1955679355824,18
2627.0103080564436,2181.8942583855023,95.33284108014672,100.0,12137.439532494853,4833.613323738816,2093.4665470687505,19
2647.5718445232087,1776.1720580852843,85.90115155892963,100.0,7556.589960656531,8138.388429368748,2313.3607159444828,20
2352.2385237977423,1826.179508709266,81.0816315072622,100.0,18416.151673896784,2721.529639495027,2525.0676901069364,21
3202.6150873862766,1920.0720777988563,60.08157528341071,100.0,7017.167996706734,9051.982861384393,2640.929322694755,22
3004.32193770736,1599.7113851631038,89.16636439247202,100.0,19313.826102141174,3914.3505515099596,2896.0501638430405,23
3105.7973695168457,1855.0531779824387,57.1648642981954,100.0,11278.706651265142,7554.262915170399,3095.723817767069,24
3258.5937378646026,1554.2592713180156,79.38486921573046,100.0,7684.303442121561,8648.518912601503,3234.9960058227744,25
1799.8676561486336,1446.2093311064145,100.0,100.0,18606.91348294461,3933.3328581118008,3637.2375738393716,26
2713.06769404473,1784.1094899650616,79.65607062158392,100.0,14727.369834750905,6135.967694518619,3787.056268974311,27
