Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
6959.816986751727,5816.637234377539,31.59871343367166,100.0,9915.773306052612,6644.203703562044,6444.800621137724,0
5974.200291874265,5500.317682250167,18.084961191083377,100.0,5627.7221174729975,9042.791319708931,5917.793802963062,1
5309.089632595166,5247.804259087629,43.787967804471144,100.0,13525.394213649253,6029.133906297486,5624.4438676205045,2
5173.046587997105,4812.064077474246,49.673312492318395,100.0,5491.787138436625,10236.565688296698,5070.3438278788535,3
5788.839828104984,4193.130002667376,42.678987692615664,100.0,10654.826858292636,8019.879966790339,4596.855561721093,4
4791.49036083773,3918.831303440498,58.12837641134329,100.0,1536.8404822692794,11347.730949021443,4311.557771971705,5
4034.480418693478,3425.367420000982,73.36947261963735,100.0,7611.010531890858,8397.518276045439,4058.0400837811762,6
3530.8561766898497,2938.193400718868,82.7643122556881,100.0,11831.47241771598,5812.458036912719,3654.6786366332753,7
4029.8979865112524,2324.5735988636443,49.13907658386521,100.0,7950.845644494009,7142.096305399989,3365.3637414270315,8
3306.199851640031,2072.72412701485,57.09307440476332,100.0,17828.430133558664,3080.534199858287,3035.1132325387193,9
3497.9627097071643,1965.6605457280775,67.93093303647623,100.0,11169.14406261334,6267.57204100696,2905.56516150491,10
2894.818995969024,1473.3847742758762,54.99230891340761,100.0,3050.824409727042,11386.913025661152,2572.0397475713153,11
2641.073843284362,982.8839168213899,70.83177245943364,100.0,13254.496308000707,4781.481640302741,2370.4581975302017,12
2152.116820280147,615.1244238524932,70.33125079109386,100.0,5742.359001653293,8818.493756819265,2103.744500382849,13
1432.0660474934257,710.3570716706763,88.73260324708171,100.0,5550.3670631055675,8480.167660283389,1874.6871951640433,14
1729.219099859235,799.8205654547273,84.32073876945896,100.0,19020.65807800523,2490.776251920518,1916.1703864361589,15
1437.2239820659943,480.3728625293361,76.43672730861306,100.0,5827.674852657712,10239.683767146324,1735.1360381537124,16
1859.8641499733412,404.5318130354008,72.13971178276006,100.0,7703.310631213152,8904.261019262673,1711.839976032411,17
734.0385377075472,179.63353678635667,100.0,100.0,16101.672549992849,5763.0131000400115,1695.3931810813974,18
2123.497357644586,468.55832597300287,80.73603670529477,100.0,17765.833890246722,3556.849417556825,1844.1157658815691,19
931.2707609869849,326.4451315803535,100.0,100.0,3949.985434218948,10935.314742076394,1854.949663131527,20
2169.948043609329,705.7793120182705,85.2275137661457,100.0,14934.436104507775,6368.784500177979,1968.0237428345545,21
1741.3976325758704,1088.3697417169778,83.06976709007051,100.0,19398.538805530894,2322.8721978201374,2054.2311331451338,22
1925.2466443635421,1338.784877306076,64.99681831294778,100.0,4290.077204861717,9873.82684062845,2297.8035132608256,23
1514.451480387258,1166.3597820056884,90.1047335866943,100.0,10332.672849898112,5989.487726590727,2600.3410894145827,24
2335.769297362458,1412.4702883716882,68.76400706387165,100.0,17166.917454139057,3494.732321244423,2896.706266549937,25
3436.194926856357,1732.7156601610777,66.28811856196717,100.0,130.7351917076538,10559.675264623002,3330.302036672518,26
2266.333267937473,1939.8910818650706,92.58740574482808,100.0,2474.4949018024886,10268.326250486087,3645.7012128913893,27
3373.3209936237117,2201.3640016044897,72.3261104383359,100.0,18533.059093838052,4560.651031260929,4053.1249149027494,28
3734.5445375004733,2196.1187310014457,68.57801232239945,100.0,13341.287376960128,5291.973217725371,4453.77937474217,29
2874.457980472631,1934.6003097506168,82.39317500577248,100.0,15203.893616876638,5621.4631152816555,4853.172379886155,30
2332.9999943798853,1725.3959325952374,94.92638747566194,100.0,15655.431063541395,4223.430685596672,5312.900807478719,31
2796.3425150829958,1897.5080581328748,86.08813021991163,100.0,2119.648071944318,10115.25462123686,5741.086808259656,32
2638.5787678067786,1862.1768393464681,84.38344801347642,100.0,19572.606340466013,1776.7102113301085,6087.691674754787,33
3735.9617491358395,2192.100017232015,48.35263546138465,100.0,9589.068513214199,7402.333805526741,6293.904976503008,34
3212.681748149766,2466.7937528145762,68.36021918238416,100.0,17087.070453969278,4973.002623679114,6739.772215924191,35
3787.9365345587316,2742.1736414764655,47.42781062014015,100.0,19173.301404819318,3411.3895911076443,7194.873824572506,36
