Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
6589.060744293849,5743.244714666864,44.32872847338438,100.0,11993.631894874576,7161.863429010222,6439.537389854138,0
7085.520680980459,5585.797118970933,44.73840031873824,100.0,6148.475438729129,7481.069765838677,5964.905981052214,1
6369.262063677008,4883.786742076949,27.030946331889982,100.0,3648.3653621910044,10784.325509583432,5495.689690904703,2
5199.763828190091,4229.641355585767,55.08268550596743,100.0,3242.390792577345,9971.892771872712,5147.6684879580425,3
4869.495045121049,3705.3559278362686,72.0033874835365,100.0,15077.284498387095,4930.49470556907,4806.73469187067,4
4174.554225540349,3409.807467241813,64.16791445462027,100.0,1617.2479029657748,10266.074605667947,4334.057971979967,5
3421.078287415395,3240.9046605766825,78.44211876137479,100.0,6171.057309558416,10042.566141966594,3812.4739384801665,6
4024.118326464611,2710.680943111632,40.75423298614277,100.0,185.21256766023785,10433.823655223683,3423.326809051593,7
3638.7182893258605,2713.2687224318393,65.49177279750367,100.0,11136.60163265853,7847.2088920484375,3110.1561932226828,8
3240.0373736375923,2076.575982140329,79.77170759535875,100.0,13265.397414865667,7001.22616292702,2824.228874130904,9
2476.5135959354698,1788.4678705774222,100.0,100.0,905.331422274731,9908.684261608409,2705.227402991367,10
2005.578723408175,1617.0907291683625,88.94921029958897,100.0,7510.643274379214,7610.020442621085,2573.0709847282787,11
2232.4671643673723,1549.2832854767566,70.27370166607729,100.0,19915.42883101057,2596.7916243468862,2447.125397534989,12
3005.7494844279827,1321.4867184020486,85.62853508962294,100.0,18244.246673444868,4509.960005524475,2393.9732667443886,13
2493.4353256624995,831.9139093092626,99.46788408047121,100.0,15370.498306009167,4575.954053902681,2400.749885672918,14
1786.995016044374,584.0774794199879,93.25061722895748,100.0,16937.10439297308,5301.846841900099,2418.668375681892,15
1222.122413437236,699.600788259524,85.45042645367631,100.0,5028.67891726243,10206.388751422342,2434.7306579828664,16
1769.70824092974,745.2609189193045,100.0,100.0,13216.121117073371,5851.186053893505,2347.213767447952,17
2662.6438936931613,940.0264364733957,66.44820280850738,100.0,757.4083134107057,10317.72221723874,2385.4196315743084,18
2600.8964976199695,829.1663309037885,87.52627794166206,100.0,12723.438603731674,5609.173196636215,2281.917185714281,19
1662.9220253990297,403.55032993281657,81.23715226112327,100.0,7240.063388572442,7114.062208500106,2420.080822413037,20
818.1251635994495,142.18429079057387,100.0,100.0,2648.1958953341887,8862.183747171823,2537.3231079660727,21
829.4679139478258,67.0,100.0,100.0,7970.9024416568545,6971.955760668314,2792.553945471421,22
1065.7741492838186,67.0,100.0,100.0,9395.308588362013,8448.725920149334,2919.667415184147,23
782.4429811303389,240.57703104632674,93.50486086167703,100.0,2661.209009181662,10246.923798237847,3155.89744051616,24
1559.2504440390485,230.26317696104707,83.20871669380557,100.0,3760.035829192974,10841.968453737072,3514.8081906755974,25
1072.8979865795573,67.0,100.0,100.0,8955.839169868907,7575.087692246728,3646.1790236952397,26
1454.5403449163005,104.4941850508485,89.96781215442519,100.0,13223.583419858598,4526.248478068484,3881.937042555412,27
964.1430208997463,162.09413640391176,80.31107628978617,100.0,1160.0288170886474,9816.34698371391,4051.1470440916637,28
2191.8573304242195,370.07965434429025,87.02205029392896,100.0,8363.656007021276,7414.696969930941,4187.2936467591335,29
1688.4928199430497,383.48991214617126,95.87700928684613,100.0,10007.551499369858,7283.259534088632,4344.898337011871,30
1582.1134726227974,717.4578487155895,74.35128835547106,100.0,9989.171221541692,6207.931423075421,4760.42841092201,31
1958.086868378481,1049.8533538024358,76.53341902490459,100.0,1779.3257754054403,10854.392194557153,5047.99795492196,32
2413.684327762893,1370.2780123080065,65.43459389235312,100.0,13662.754974575408,5368.7556507038435,5371.792843053073,33
3155.025764349316,1628.3200966284458,53.04835097138883,100.0,6926.098875795157,7498.04138054147,5545.9236414616935,34
2110.630464949936,1638.6836157444704,70.17560591326804,100.0,6562.494510987918,8502.941820945307,5794.170763019384,35
2328.9314050433513,1504.5910447856559,75.74099356796214,100.0,18113.464893476936,4834.323735247639,6031.163177787766,36
2865.9447053221074,2174.4455935423885,65.3533563189595,100.0,15611.91442410251,5445.456719588486,6437.703361560213,37
3653.173774149139,2673.0189193024394,83.47172141355585,100.0,18180.27084829266,4438.309519661731,6766.7606286247965,38
4261.13524717863,3059.701079095636,38.597887178200246,100.0,4600.650822018728,10099.402308760153,7188.066145519857,39
4492.491766563339,3579.232917954833,52.788183379768675,100.0,18659.629854426057,3924.663667030269,7398.784990296298,40
4352.53034451701,3579.7667308800465,49.49236134446304,100.0,11359.780152736847,5441.828518839601,7654.32297370016,41
4860.680313115223,3731.069577005921,51.394717138013,100.0,8320.601979647543,6497.006023508092,7838.979914102067,42
4651.408732651742,4117.8952434616385,75.3078884801333,100.0,18000.799408042156,3209.682428833824,8191.095450237034,43
