Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
6389.767536990428,5394.277288322993,16.86778710130168,100.0,1649.071649093827,10488.647300663215,6695.912394318079,0
6071.0620364713695,4828.002848056195,49.975635964381176,100.0,18800.877961648417,2357.681883922211,6240.129954735461,1
4899.099588386655,4400.756525208797,71.6365002225198,100.0,8632.800134435112,6620.284331102321,5763.001550632608,2
4142.8314541338605,3754.5966927332,39.20384282717505,100.0,1181.6868774738798,12212.912550234609,5233.540455936804,3
3358.8105781233344,3062.1941990319137,67.34179352044833,100.0,6726.674339548266,7522.475386804014,4702.9570404551505,4
4299.415051989363,3161.988543769679,68.53544051625934,100.0,4983.722818851584,9880.337427999626,4368.90999544201,5
3176.250571319174,2656.3086087532606,73.54309869122149,100.0,1451.3291433875208,9460.843944844675,4066.7298969735116,6
2899.5714767614427,2277.544210640568,95.43544467804826,100.0,19737.94367025944,3651.9117640476843,3832.932646878143,7
3538.3215048814905,1869.076520483989,69.36546846345657,100.0,1401.2237165013207,9691.754276972006,3537.2407215099743,8
3486.855875909993,2044.8803565335388,80.18867643521479,100.0,14001.110816501245,6509.317180857541,3289.0270544637046,9
3072.006985889303,2142.7235614043907,61.42297886604662,100.0,2814.060958517766,9675.51677223224,2970.561619602076,10
3247.571407714283,1617.4866502346986,84.86273253831769,100.0,19056.581851631297,1836.0684565668598,2784.1121652018946,11
2834.2646493326342,1741.481836320676,90.55764529987191,100.0,1339.7855661318636,9947.070636356766,2469.1634090342777,12
1615.6752095886595,1184.8338406905468,80.64395349406406,100.0,9466.299471794426,7123.803408630408,2300.097272100552,13
2531.651512736661,1138.0890399109721,86.72295378603575,100.0,12468.506298771657,4919.313426179378,2163.8615962173326,14
2269.4792492111,1232.6203701153854,65.78445550300106,100.0,6042.456126309474,8275.818470461858,2006.7964565347174,15
1946.076496564081,1514.3568411129218,74.46738697761461,100.0,4253.619038605738,9406.937422815912,2044.4329403692764,16
2106.7559171365733,1188.1185204199983,96.61983452123829,100.0,10870.787133673279,5553.808543697482,2120.4303994956417,17
2195.775342597798,1116.222850987986,62.80773216522803,100.0,7105.30543461501,7402.840202020042,2224.5313190507068,18
2517.893900032153,1153.0128668405387,91.29476154904349,100.0,151.11583674592976,12662.815439708098,2249.863823263948,19
1630.0595604852933,1202.4654133046033,100.0,100.0,12735.493791858982,6615.903433002797,2219.1684359937217,20
1566.7084758564188,910.1410918325801,100.0,100.0,11470.53688135934,6837.696667263143,2263.170925817084,21
1973.0167716007945,967.2052775114071,85.93322648559683,100.0,8184.435260756928,7724.964491026518,2414.1496136369615,22
2232.336813163612,1198.9319846126346,84.8682766844273,100.0,11666.995968379508,7787.2740118532265,2690.422938458414,23
2538.0794503858074,1407.3921828117682,89.88219301206955,100.0,10453.894708798383,7641.784731184574,2918.18936388392,24
2553.0120110282264,1316.1596668066377,90.10485197445279,100.0,13037.755750234808,5792.612231075546,3060.5690684551487,25
1847.2551643216511,1372.6911685581554,69.15767001721846,100.0,14267.28653208737,4290.045806949983,3347.7493214280607,26
3036.2886007916295,1254.4780364347353,83.82699429946283,100.0,9905.96828801649,7237.234689507211,3734.218384455471,27
2930.59222968227,1194.1771734629147,65.22955411845092,100.0,2873.834200715908,10480.444740373809,4027.3816070368184,28
1685.6428333077238,1354.6750154873307,100.0,100.0,13567.495945247241,6141.898927680237,4324.3200097132485,29
2874.2557050639,1323.9132802257545,95.06397385738427,100.0,2134.8940360228385,9183.837679827597,4570.594735355926,30
2790.5115317803843,1360.435871011895,71.50872050276053,100.0,4332.643524404987,9293.371937599948,4911.385163057975,31
2097.1805189084375,1380.460128915618,100.0,100.0,17738.232363160554,4438.499983023909,5361.961464985535,32
1983.782021884193,1404.0477712002667,95.2861036740762,100.0,2518.868775070098,9132.077620331977,5734.046701797157,33
3451.2834764780237,1776.4303287092162,61.22626225874809,100.0,6148.42268424658,8182.66464203537,6040.768140134297,34
2319.362386897879,2060.603122661143,74.52406385224852,100.0,12732.871746694665,6302.785129424959,6255.791669909912,35
2777.5475974958767,1918.1311900375686,61.14675593482573,100.0,15322.6812563273,5499.664150849251,6557.161579915101,36
3410.9257945526047,2198.364545521919,79.3348280579918,100.0,16893.594509648465,5270.97730010211,6759.631310476799,37
3713.8216166797006,2743.47706507487,70.72704575949956,100.0,6911.5683136295975,9430.367620944591,7162.52686387889,38
3559.247194704046,3387.651657971617,51.52295751860088,100.0,1611.2717239133212,11831.657947982618,7519.284097153339,39
4144.326646298193,3469.7862415973837,59.6413076141294,100.0,7766.484893708866,6809.406869708553,7710.388795562279,40
5264.004507815349,3887.036064436751,52.115878064917425,100.0,15833.76796010664,3246.6131332116233,7965.439228126614,41
5547.89895861434,4485.7488095900135,20.993085001114874,100.0,14435.880287248643,3998.7946177833746,8316.006948789598,42
