Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
6077.637147476568,5880.921096364308,36.864743344175075,100.0,4029.2872611250123,9352.581723938372,6475.463187037031,0
6229.663961117939,5388.543565780903,42.66773352889314,100.0,897.1008214765685,12469.349168246294,5890.971518893038,1
6261.704293123946,5237.8170004206495,40.62158453481989,100.0,16289.656752754905,4980.874120723858,5397.528243948292,2
5203.294597291934,4501.993770163923,30.470047921346172,100.0,9496.416244715929,6275.221683033498,5103.423173949801,3
5561.4889125934305,4438.710775128838,42.05478710047837,100.0,8572.65994629646,7618.359417207782,4801.856981853065,4
4924.497619843333,4083.1961351321233,34.64414797836159,100.0,7563.808750836562,7043.930499301915,4404.083518436568,5
3646.8279662448217,3370.9615249526532,62.839800640170814,100.0,16453.982568381183,5355.012507053624,3997.3742794448644,6
3467.8966057282396,2809.877155387075,89.06278440224364,100.0,16223.922530271715,3897.898624396472,3735.6357588406663,7
3158.6250847739802,2562.551932761453,77.34739009412894,100.0,3287.6744294816353,11085.14837721078,3546.423233666903,8
2501.860886396494,2175.5398972299813,67.48259584214907,100.0,7250.31813639794,7505.4208452732755,3308.211260575337,9
2057.198005553637,1633.9632111396086,69.5236130102794,100.0,17715.674432747586,3530.8656998881484,3135.2657125871024,10
3023.7417107502815,1703.7045968781922,55.81073659933212,100.0,16870.484815737556,4530.001292850543,2956.500286200425,11
3190.6073181952784,1456.8284312468495,68.67136901771642,100.0,5212.5083337119695,9037.620741066405,2610.263144169875,12
2249.5616331628185,1622.2757786252587,87.2116584319641,100.0,18628.677460719537,3627.118758666338,2483.1386797824825,13
1843.800290042579,1294.7433054410885,78.71596380477999,100.0,4302.42519978012,9763.767354715248,2333.4480776861756,14
2475.7862460686633,1185.756106282125,67.94477688055885,100.0,1855.5830666782015,10275.808721915544,2302.857517468924,15
2666.5922154778277,1082.325285385812,95.09090361800887,100.0,5948.842210571905,9551.684566494478,2223.4044059189855,16
1995.2226233913398,1363.3008766905268,100.0,100.0,17565.313117821668,4985.598613187995,2097.682338358425,17
2593.403335814338,1331.2352369792525,77.63835996840132,100.0,13290.26472780252,6355.7309771809605,2034.7877385494357,18
2416.803258618989,1240.7117185614597,66.53551073838433,100.0,2467.4225699165795,11436.61809895186,2189.3698258371414,19
2900.854244683646,1284.184898328972,64.93834118511595,100.0,13196.696175884834,6626.758237965371,2299.806150002615,20
2300.0780014367565,1314.29719009996,93.31632798185882,100.0,17615.602341410195,2650.781180376842,2425.403334641356,21
