Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
5566.264930922246,5221.714036370853,20.583983320052596,100.0,12648.361719418883,4576.7395781983705,6634.817915651591,0
5876.942176031841,4538.575786731588,24.35724013679742,100.0,9441.148903352108,8780.874687870939,6321.898858180776,1
5979.9014855496325,4595.485520294524,50.49211935816853,100.0,365.49908997951076,12552.482912196927,5788.9564937736295,2
5883.857719093347,4544.58714642422,20.715457556014265,100.0,12134.90306275444,6779.430627434813,5456.953968940148,3
4934.555796338994,3831.8655660172476,58.099698783242864,100.0,9923.07305381145,7816.862343418368,4950.8117247095215,4
3899.352980383187,3572.5038458799713,44.51409848294404,100.0,18973.279925232648,3522.755773067647,4643.280676754133,5
4318.333925073809,3653.142522220849,61.65751809826886,100.0,12194.708655852311,4982.113894284986,4156.175673377439,6
4474.422458381502,3149.9530290167736,39.65971715796604,100.0,1100.579685507803,11207.531379652715,3670.363404992094,7
4450.760653286564,3224.809774201392,51.75654780476687,100.0,3953.554339856793,8867.722932202483,3297.6029630703288,8
3466.5484719180895,2757.679499838768,57.72112232935941,100.0,8936.86249439444,7209.373566747354,3002.862383816665,9
2723.2563761135834,2238.0324660439783,86.40467903143085,100.0,13539.251668303714,6139.666813288733,2700.466005928368,10
2349.9115793177693,1914.4013440331696,100.0,100.0,8507.057812366767,7577.841106833052,2545.5372409987513,11
3129.243455154779,1907.368660683801,53.252124054036635,100.0,14207.396402821221,6733.5496832553135,2430.729749691931,12
3026.149767933813,2056.775762023374,85.10655810917788,100.0,3626.8988014741835,10523.997712792736,2360.6145926614263,13
2751.248413508729,2191.702272969734,70.5049687725016,100.0,17199.981811818565,3081.263942089442,2254.5283853850124,14
3191.062489070758,1894.2190061949004,64.43704355487668,100.0,4748.2453898969015,9594.501439115003,2235.2331381071754,15
2635.5766012728263,1423.5131086578813,70.3762707913803,100.0,19242.74240942861,4065.450125429659,2250.3016509547597,16
2237.878425805132,945.6872108629022,89.75958028267308,100.0,7626.644903153401,9500.53453813541,2236.9049391238714,17
1513.4790243365987,956.9467042950419,76.9479752824123,100.0,11894.196579040008,7198.252798283891,2304.506193501792,18
2473.3323011905104,728.8270587448214,78.19809992506096,100.0,18435.862400862017,4090.6520889356807,2205.932574003269,19
1174.383411899341,609.0950901864062,100.0,100.0,15370.74851513783,6105.131430752625,2203.735906559812,20
1264.687322117633,225.9874566247545,78.14426038743287,100.0,16613.84498787577,3448.637663441115,2261.2277024416007,21
2095.750051948226,563.3126573306508,100.0,100.0,15970.529786312176,5510.043388293518,2306.606164131641,22
2284.059411099568,864.8914482104747,79.98033528183194,100.0,2793.799626634683,9007.799525431452,2599.3541022179943,23
2261.89519603269,982.1268083744035,79.46014945523174,100.0,9306.764435763402,7839.871390046705,2802.963716073662,24
1465.730277935253,659.2408319389406,94.15303131015679,100.0,14650.45926780269,5885.454983526409,2903.2458254356306,25
1892.111380196011,470.3022596159417,87.46299135917967,100.0,15158.649972361201,5257.53288348077,3134.0668514578656,26
1936.4627611017227,368.1946157729499,73.06731788660905,100.0,11631.8743259645,5993.1119468928555,3328.01146224427,27
712.8450960038572,259.2604838779089,80.71918077401759,100.0,15957.54879564279,5025.992242333217,3544.2677235134793,28
1334.409075067516,140.2493807738647,100.0,100.0,14914.920236185697,5506.094791358926,3780.1870157084354,29
2290.2376442117866,584.9950870653784,96.96059936843815,100.0,19970.859122042122,2834.415794133277,4095.3712561681145,30
2374.4279623300504,843.0791509939663,59.575615443571266,100.0,15381.60143079496,4624.43724493661,4559.363127754357,31
1944.6091045446933,1159.8583834416531,81.43284534867425,100.0,7479.50684675607,9477.398389147642,4794.440452410634,32
1848.4875289663887,1439.8810165970663,99.05551269731046,100.0,15354.457119323353,6063.876712043632,5292.208221823748,33
3079.9420193048663,1732.8142462930746,68.33626385332977,100.0,7262.188052601815,8506.905321636421,5679.378633878339,34
1868.8552122496394,1547.7576982941155,88.07105224967665,100.0,17712.52988383717,3080.4597660007094,6094.880032138688,35
2732.5110325800338,1922.6445577414602,98.22834473917293,100.0,8076.446091393159,8366.425680263263,6482.120212284806,36
4052.4840113852224,2414.30920598104,54.63343185625411,100.0,4430.848552433915,10407.63758007289,6889.967826604286,37
3952.804302778948,2916.773476406996,65.55938304351997,100.0,12725.143676369184,5114.86155289026,7161.827495889572,38
3143.532318627202,2932.8200937274937,92.17917520385559,100.0,16264.001236572634,3347.895529439057,7331.724242945762,39
4549.2534969823,2881.819859522287,59.86631115190884,100.0,3890.70125277984,10220.78562691063,7699.03328200549,40
3860.82729931037,3127.7334858689783,80.80690778926638,100.0,18773.998900417708,2283.0567430080428,8049.310451431405,41
4055.863752166646,3162.7030217730985,40.19779789953033,100.0,16713.258909316795,3587.124217291959,8205.82103496177,42
4891.759810606228,3654.799111655013,58.55227918278869,100.0,12652.95993084419,5815.816641206705,8354.265119939173,43
4424.291799815091,3873.221258583628,74.73652077087415,100.0,14667.573897796685,5441.888634289405,8652.880678394165,44
5300.727311851752,4570.111823532468,35.945713132596424,100.0,14666.558048787538,4975.047851547161,8875.647070291177,45
6270.771237195108,5251.3368757415465,54.259177355908434,100.0,8377.252921386333,9180.69307022678,8965.889514846402,46
5537.672144788615,5278.590762562215,39.90496007433108,100.0,2255.1013221256344,11373.148979088264,9185.639973282954,47
6331.049946521599,6066.197689515618,20.93074971725273,100.0,4569.3837983922995,8252.361123609415,9310.620019684478,48
6585.101173979854,5221.81765719537,14.456635164915891,100.0,15175.058603215673,5628.292790151336,9514.400566287755,49
5809.873562273257,5161.987530036002,49.74490896247223,100.0,5584.590099282354,9578.923947653731,9580.44358445804,50
6913.964768572431,5900.844579177448,31.979165285867506,100.0,9623.111941869178,6510.945563638471,9718.203745788514,51
6175.9324301563865,5959.363788966919,26.290828667933503,100.0,9909.943875885845,6493.114862085875,9855.811852673338,52
5516.880948570399,4720.983465316146,58.97422334377905,100.0,2067.293503423091,10504.552676904597,9749.237725835526,53
7038.073807637455,5601.620997812905,42.89075291868207,100.0,10960.579315342118,6737.8820520991,9779.222133140813,54
6867.167148470023,6100.896726359145,49.25348733513521,100.0,14442.054851402869,4196.849987944618,9879.657429274339,55
6360.366365658825,5453.169595394943,51.14163035933754,100.0,16261.302610930017,5460.431192136889,9746.36013555114,56
7855.424236711215,6641.121172295148,35.4341215791625,100.0,6192.426957589981,9833.902039236562,9602.166921420318,57
6100.007553102493,5659.540454716822,35.195223410732524,100.0,10389.93414815359,7585.051797550657,9673.115677842366,58
5979.839194871531,5593.929995778088,16.56483739830462,100.0,6861.931096785659,7841.991896582208,9813.116089117648,59
6930.831352413738,5927.6115699675765,10.154093015641223,100.0,2047.0002171055637,9186.530643016938,9839.560862663688,60
7187.126885486865,6098.923691751484,42.56013017011556,100.0,9436.11016138566,6326.011176528854,9733.442744813696,61
6875.1202266241235,6566.039529453357,9.404670464090378,100.0,18049.8812985853,4620.3315555364925,9650.5374019753,62
7353.59254436073,6655.594340548594,35.63939476831614,100.0,13044.009991388533,5897.106170173742,9784.252653922467,63
6864.204325697664,6141.852678150962,8.153616802072913,100.0,7376.637823959717,8057.287982445497,9779.653328522538,64
6126.506328800132,5295.907225767636,26.803115271511476,100.0,15889.88807427522,5843.458071365686,9646.843427436066,65
5801.128260159845,4786.503964301341,54.86391124882938,100.0,10994.052771184466,7272.592915438135,9594.201821099155,66
6818.9959739017395,5636.166581821227,16.311928915657692,100.0,19450.098078274565,3759.920259008238,9572.294190459466,67
5140.915262949382,5064.21066320642,53.982408434526995,100.0,15746.089039377712,5689.4054796290975,9438.066726661416,68
5869.52115523037,5053.75400590899,60.331737298396426,100.0,9592.624367919645,8268.795594443443,9495.665868492502,69
5060.792758971672,4650.527891720609,61.28368415192553,100.0,6810.118994122454,7694.263877176283,9410.885547248643,70
6851.078435528691,5665.324793314122,16.24132718352563,100.0,9237.378969938653,8017.53527304367,9409.322595625956,71
7209.476536214633,5845.954750302796,4.010739825093651,100.0,7398.447108092643,9119.349228066112,9386.85595977294,72
7324.016238899146,5866.605114736646,42.25059404136009,100.0,17871.0221448753,3703.7852089545327,9366.84114452113,73
6351.102721066411,5211.961208336224,36.368141865257186,100.0,14120.11621708819,5785.1035164725745,9355.241422252078,74
