Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
5558.738055113097,5441.597040915021,58.622179599545895,100.0,14124.147428105933,5746.249850061716,6453.446770720456,0
6616.444864377454,5129.484050935834,10.244189797431376,100.0,15363.914243159035,5980.891482362166,6012.043474836851,1
5714.4327499801975,5075.4230158918235,21.057342108058247,100.0,19335.162263448463,3564.5926611762998,5502.467859939174,2
5817.091830200422,4808.383833981894,32.195889031137376,100.0,19808.020119663146,3840.6893543266874,5162.498839334244,3
4852.315177961496,4151.3401933431305,69.4789045674907,100.0,8276.085166106981,6706.003881050817,4843.680382988581,4
4482.842819357163,3915.750994476657,38.98719044923753,100.0,17107.031973189944,4499.310742285394,4344.972591217867,5
4186.404894097416,3724.580713989687,40.90199900702666,100.0,14252.778907770142,5676.121999379603,3970.6602492130346,6
4765.262752390522,3762.1893639060922,66.98728239104281,100.0,5315.17313967295,8322.633765366918,3486.621190565624,7
4644.239550725917,3504.0694531925524,76.01847634354141,100.0,1517.4097791703446,10097.814368376165,3202.5691694223574,8
4485.245308427705,3161.5036873422914,42.301530909723986,100.0,12324.913163589343,5167.081666886734,2810.6745673468913,9
3472.0556756806673,3080.8081431422324,62.72631381182414,100.0,13582.009887650376,5819.354454342561,2602.72573743648,10
4278.101107237924,3104.830038857518,80.58507412218057,100.0,11019.382111113155,6115.479798448233,2432.6758227021755,11
4450.046440426712,2769.841130570607,39.817691519271285,100.0,15699.207727283665,3928.34489967306,2220.8669726737107,12
3765.4200762280175,2553.8406103826833,77.89831087853042,100.0,13896.89042470976,5069.424799045308,2057.015197021021,13
3305.128256304274,2689.3078789201904,67.04125162340708,100.0,14988.499448547904,4971.578514247009,2035.9803912195375,14
2923.131778131255,2509.761167966837,84.63883566540275,100.0,789.7452171876828,12340.738232069902,1924.939095707302,15
2354.7414883374413,1929.5561204319433,78.86099942369694,100.0,18644.50139049107,2914.9522172623956,1851.5050212348688,16
2602.2165876297836,1543.8695976753515,60.93100567370613,100.0,19608.408614879303,2485.849211493793,1963.3229714397148,17
2056.6697173926427,1225.069775279876,79.70434608798588,100.0,18958.610079871636,3120.739757673735,1902.4844660655071,18
1735.2222891419424,771.8022689894542,100.0,100.0,6986.970187655035,7952.877334057984,2003.0829969454671,19
2022.0921737063259,335.85620344190284,100.0,100.0,19244.015966876243,3587.689103357783,2099.00718777794,20
2037.9475324532937,632.4124542192139,62.99945106815439,100.0,8388.64911323735,7644.462424650336,2087.242869585217,21
1924.1879772894736,621.8543763215985,95.73803192664217,100.0,17874.32706714642,3488.825160632192,2385.247344350796,22
1259.57703334308,411.4554438233963,72.35822209344748,100.0,19060.432001096946,3432.3138760941188,2512.2259844645896,23
1846.5544658006602,375.16755405253116,100.0,100.0,4387.1836502126625,8486.621964314641,2761.2727683000694,24
1354.8797400845524,188.6757597820624,100.0,100.0,2483.2030837722073,9246.786592754423,2963.3702932343854,25
1650.4935811198584,16.537631944496752,81.39877158987764,100.0,12982.44881625666,6844.44958885735,3350.1027677540287,26
1047.3039082555015,9676.0,88.11676813941368,100.0,19394.91876863395,2296.101139112358,3507.7623216401357,27
