Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
5961.31766492848,5759.415815232242,24.62542276381362,100.0,5458.82407218917,10465.407814852331,6602.6707632176895,0
5794.1488867900825,5463.136637838237,21.620380127169003,100.0,5275.691206668469,9098.350726110657,6206.573023570717,1
6352.4144377199145,5405.262335954937,27.60222375000626,100.0,5770.772577273479,10152.27159077209,5895.140646507295,2
5742.678853148891,4642.554738091522,42.182961042531105,100.0,11455.990269962555,7084.146610905208,5368.472511623135,3
4388.674543115288,3929.156109040871,53.82947603167887,100.0,14640.364943917635,4153.335900016806,4845.779353994946,4
4809.2446841042865,3790.764082144629,42.43936517877299,100.0,17701.36625545495,3099.798192220993,4474.767720582548,5
5004.530768406638,3565.6813379235377,44.992707760579734,100.0,6531.5817316124085,8924.363805346833,4115.88796011363,6
4001.8405833750603,3453.920255072986,43.50188714992764,100.0,17589.699857344644,2741.271571016399,3645.07293803277,7
3342.285631877616,3143.6117673582726,67.38626799243346,100.0,15763.622818462358,4874.384032204019,3215.369452329092,8
3102.048960890381,2876.839255995008,92.50197257456186,100.0,4178.877961621821,10497.097427924613,2879.123047465494,9
3347.528886301661,2787.3564763693685,61.85017124180982,100.0,13819.028139283271,6462.74044569688,2722.4107545284005,10
3151.5094641972373,2564.9818719650657,52.37624698598669,100.0,8696.27474847313,6879.90707184104,2492.1134348911455,11
3353.083131289314,2112.2670968416196,90.03463022823776,100.0,9795.757407734924,6963.522596678488,2175.876700169768,12
3002.7177493503764,1921.0322410854833,53.97097775426459,100.0,7002.6256455899065,7136.380871383611,1904.954482340252,13
2712.8116304647415,1961.7791463965054,89.09897153999837,100.0,6821.1856702281,9722.983660688024,1835.179423214954,14
1963.2757659848407,1485.932705562078,72.62748909066084,100.0,3512.740756184622,9482.335434845769,1832.9820371173391,15
1950.9469338530503,1586.0455968655206,88.24591593036922,100.0,15519.609478804197,5924.344365054617,1650.9139429854968,16
3459.729563340461,1801.0508666337373,78.93608163098324,100.0,3936.1787812414436,8748.250046876741,1535.5537277173635,17
2372.8523222366466,1574.0695021453257,91.32026811237948,100.0,3350.5112388107073,9069.474902216312,1456.008310937731,18
2495.3468571093326,1849.0277224226302,70.20432836383816,100.0,13762.54072315664,6821.140211063238,1535.006128295713,19
2822.96806748988,1443.6155381809313,78.30161960831786,100.0,18950.490809561277,3749.7085140823906,1521.954019724325,20
2259.3730605669857,1045.5348865589058,67.49343455710947,100.0,14832.179659344765,4329.713975360927,1648.597311916501,21
1711.6903492567035,1310.3405315493028,100.0,100.0,13048.664935162451,4472.349832510261,1762.1255949812194,22
1857.9158382452824,1338.564838884965,73.18652226677254,100.0,15055.563994725013,5116.267523695121,1931.546902136527,23
1868.7445003626626,1073.302728728674,93.15016070350944,100.0,13858.599478078664,5338.280436021522,2173.84049857423,24
3041.956610821815,1425.8448964096206,76.223129829562,100.0,16835.622449016126,4009.6549863872415,2356.822462435013,25
1456.8427594338937,1118.5152545610417,100.0,100.0,10639.533592864896,7165.617476262055,2569.8578005996415,26
1758.2673739673373,856.3140758419504,100.0,100.0,1472.3644307554484,10623.001833027602,2825.6803525767045,27
2403.259226261021,821.0014191752862,66.43928001210872,100.0,13883.812025670875,4455.884542350701,3079.703286799094,28
2085.006847910239,501.2174692591834,100.0,100.0,16774.86932729353,4184.429592615433,3357.0575226288943,29
1157.3937216209806,389.4947336273772,93.2017728086389,100.0,17375.752533342496,2887.6517517296097,3813.8884790054935,30
1140.9387802661968,112.19919354486592,100.0,100.0,687.190447688959,12463.325911131471,4366.895145752713,31
777.1955864435931,268.9356715895847,82.87949888984012,100.0,6281.831032692294,7632.7034103196165,4743.896705040704,32
2311.1232025650447,752.2185839148515,93.87011400543344,100.0,2368.8795550021237,10542.667568975887,5073.474564002929,33
1236.5061546439338,826.9954837734776,100.0,100.0,9077.311592289236,7073.822012665788,5422.911743362229,34
1303.2983644581445,716.8546147195639,90.72933745971342,100.0,7315.387428809521,8246.67722453681,5837.083624378853,35
1476.4939564930946,1134.323713022557,100.0,100.0,7280.773656378684,8473.560765625096,6382.035566706875,36
3289.7428625340585,1672.1012261367832,67.47234068951151,100.0,272.60971855915363,11453.816487629794,6671.164834275223,37
2601.9446908123964,1824.2922868173682,88.48167173026117,100.0,3827.278621689874,10447.56108323998,6979.121661182687,38
2905.807389101144,2395.9106232529402,66.47946849707793,100.0,8575.13510612321,6783.268947690715,7255.193897335531,39
2985.7028199741435,2467.605386709899,80.76997382061644,100.0,15981.783320732817,3908.4316349029223,7636.484314242178,40
3839.9543092515714,2659.4923209510216,46.47586231650364,100.0,18751.948885392307,4193.751644277037,8030.5897481075735,41
3044.571805821089,2762.7340338523272,68.20131138729012,100.0,19358.185327409356,1786.478064172796,8472.174746322076,42
4585.945703327917,3016.0769616697626,66.48936553676864,100.0,13292.670481307203,6607.896828149297,8813.389874291006,43
5053.9030525487815,3444.4099328670095,50.05004347962235,100.0,2992.0259535092473,10441.65432825048,9138.7329622103,44
4343.57588059362,3749.2920577666855,38.70807218203963,100.0,4210.710197874206,8385.46018400423,9292.441106507053,45
5308.096835906182,4146.115551663586,35.25874151534551,100.0,5984.461245099886,10070.687844534143,9417.384948185021,46
5037.250254418359,4806.500841584817,55.30727535208371,100.0,3336.8330316588103,8928.663007455161,9552.943510509731,47
6102.948893964958,4920.793348486238,53.75410474320702,100.0,7106.357913725392,7954.602631523418,9634.469501005437,48
6305.772743704659,5226.417578049944,52.17390707541055,100.0,1391.5724112605487,10905.662029269537,9940.94180176883,49
6564.86998431669,5517.0558273416855,31.991045213600877,100.0,4355.1028454257585,9635.182594948537,9918.194354387024,50
6435.340801572779,6114.915987215069,48.97508340564746,100.0,3522.8541552520574,10298.585949037839,10072.309487550272,51
5680.975060926581,4983.977595817658,57.599690448098144,100.0,11211.621362919308,5812.3663130501245,10229.934025512304,52
5724.220514789814,4609.475668931037,18.867304728590753,100.0,14352.697245418705,4518.033920671506,10189.469212368977,53
5299.972855898858,5076.377580258473,25.429979826137384,100.0,19264.0381526685,2035.0811985630796,10215.505466984867,54
5922.8821129712915,4729.79221863853,43.80150970755786,100.0,14812.547497314694,4375.677442480012,10160.991343342444,55
6403.93429545298,5333.5317094061165,46.48521873525531,100.0,1710.2605621971613,11520.159900789768,10099.854423689565,56
5554.176163910837,5130.839950659338,56.112346799554814,100.0,11711.249303091729,6023.484591605281,10214.108302949193,57
6237.1925386046705,5145.477593974722,38.14455590794802,100.0,2260.5199153269305,9811.791811812514,10257.351606612063,58
6383.827503049892,5831.652807389158,37.5198676653897,100.0,8381.989373517456,7547.330341487513,10197.158869700914,59
6654.902819114898,6117.241640099034,47.36794878642656,100.0,5571.890066131833,9799.656780231582,10329.94510984227,60
6760.612045287697,5536.437034730511,32.2041788388215,100.0,2662.2615850974184,11318.647549248763,10358.184580208874,61
6661.379611526778,5630.274029591207,17.417386755976338,100.0,12263.344961425164,5448.875027206564,10269.507378112885,62
6906.624701665789,6192.93531523538,28.268696081846887,100.0,2659.854177022205,10777.662409142271,10303.49907126619,63
5462.110685324656,4974.203214066643,24.5244905698616,100.0,9873.665321339913,8437.376009006532,10201.893025644169,64
