Casing Pressure (psi),Tubing Pressure (psi),Pump Fillage (%),Percent Run (%),Peak Load (lbs),Minimum Load (lbs),Fluid Load (lbs),time (hours)
7096.535784168163,5831.1249061293765,6.0985283940807715,100.0,19827.329309960238,2490.299457966681,6435.283077086918,0
6095.762244032495,5531.956922367837,38.218339562551506,100.0,16660.473980993895,5495.622868417617,5852.737924670844,1
6084.823569701797,4809.930489124431,44.433758294291565,100.0,2777.277369660047,9590.00088921864,5522.68029575258,2
4641.069150100826,4230.663041319727,37.65118133542731,100.0,11964.628398037456,5177.1722906539935,5087.23723359656,3
5223.208162086475,3656.711057760173,50.020615386071555,100.0,13637.219185199883,4282.910133323004,4612.339925206214,4
3716.1324802012714,3148.486574087121,83.8925127678345,100.0,2174.469304533864,10008.235944690912,4144.708641426194,5
4090.8454101264283,3257.565176389947,45.42447450997467,100.0,6582.719123221385,8771.51123020065,3894.583358592443,6
4268.4238502296375,3095.063014297581,77.72245096382314,100.0,3308.0818985518026,9353.677074475885,3563.9315873225814,7
3711.759730376217,3168.4637025253355,80.00941703389526,100.0,10939.030870290633,6181.515396718,3239.401499589932,8
4530.317860227062,3009.6236002915316,60.83210338630912,100.0,2731.421879081792,10323.817031163897,3092.377699236775,9
4250.598630076485,2542.8406735459725,55.981667696569176,100.0,7223.055044101035,8734.820765746552,2934.453449421089,10
3084.3631661664167,2364.7613981722484,81.0888208704703,100.0,14801.983075022401,6318.161516393656,2805.0570769341975,11
3051.7641076828027,2490.646676549243,74.8666143241557,100.0,18773.055360189057,3895.391765246711,2461.8225682776592,12
3712.3196718105155,1961.6521861008068,79.87376537188626,100.0,12818.798800017694,7122.251443425939,2352.07108339403,13
2664.394157072991,1714.9133166509055,71.22735987736478,100.0,4005.32079066936,10395.684989990286,2352.560242773493,14
3246.917652255096,1791.0247598957212,78.86545291184248,100.0,13240.727595817967,5141.48455475141,2243.3123119810243,15
2858.3988008079073,1701.2453434865438,97.17912733590597,100.0,11930.428070829787,6874.225824049199,2223.7447413038026,16
3218.3219249644176,1625.4071615594294,70.6241706736925,100.0,1875.7648133053806,11587.4283086448,2265.0358736074713,17
2443.3505237863546,1828.0586212702938,58.98996369691754,100.0,14113.135211480283,4113.786879205072,2158.26014115247,18
2369.1449277352563,2011.6327415608398,67.18493077886782,100.0,13920.483870869344,4881.072325073891,2115.583040698224,19
2504.1918257486423,1895.7416115526594,83.54539075503281,100.0,4011.2252907247516,10532.289859872237,2341.0665501508283,20
2722.283317549433,2112.4341666140062,82.76564749334604,100.0,9911.14094995,6522.858967361211,2565.42462059653,21
2730.707818413699,1889.6936010576455,55.533460194673864,100.0,9250.825217560798,7410.521267146146,2730.917892120254,22
2354.682475148344,1800.5530860501822,100.0,100.0,16705.559172605263,4788.733052873318,3011.047254442016,23
2247.0767699102466,1958.3702326261978,61.91765785709331,100.0,3820.8557468737545,10406.642574577603,3265.3786650581847,24
2576.316507915085,2237.922118541574,73.96644458118774,100.0,18506.144126067677,3852.837969386841,3621.875052321848,25
2578.118280310799,2246.2062674940144,77.56920190358046,100.0,8504.28642579455,9113.865460746143,3870.0667219469265,26
3469.4601187384933,2174.4142609437727,78.38933967910208,100.0,16448.03497723793,4430.230134581416,4017.9612897103643,27
2650.8184848747655,1982.8335453521058,57.35367368474252,100.0,2956.17223315781,10677.046126684154,4386.306102580813,28
2724.015297408174,2021.641453828076,93.68153814137735,100.0,4389.617464132174,9515.333921311576,4711.913811919294,29
2994.395901510707,1717.7646041547187,90.59247565638307,100.0,8692.539921855532,7892.600352539009,4906.648977152469,30
2149.776000055859,1603.2476798353318,88.81464058008511,100.0,12062.147320553966,6400.467945378342,5296.76684296267,31
2991.5570420018257,1592.8363092094896,83.94478889748707,100.0,4304.679917107938,9738.100932073687,5687.2605852744,32
2485.272923351307,2031.9789735620998,78.9125294998837,100.0,5530.270997543727,9045.887091630368,5986.000172063722,33
3004.122874681228,1928.7786774908755,75.13756852540564,100.0,19817.701862777332,3910.2924210942915,6134.654914636385,34
3791.978494408937,2310.627144791907,58.35798248118274,100.0,4509.12915693616,10133.487208509661,6299.01164389498,35
4168.360680629146,2716.362550542546,37.774431169560245,100.0,1746.9492088456607,11977.08457561732,6687.220979054556,36
3617.7803078731486,2618.10946862144,56.94992097411878,100.0,9823.370614588555,7345.695245235942,6918.00593119259,37
3470.71324335758,2906.12764465477,59.83484022240403,100.0,10359.607936341541,5735.31633135863,7297.329946170496,38
3607.914766429019,3136.3368605820056,47.92026904790028,100.0,14382.609896087,6238.8695662499895,7606.147102022602,39
4400.310238224693,3065.2608498970058,49.41530231680488,100.0,16542.333733801723,5046.012296517985,7848.411151558897,40
4514.035071484607,3526.7796264037133,69.63711986862454,100.0,292.61623996921224,10805.544625293482,8067.486985892698,41
4044.9594097796235,3357.5606986215485,72.62450350294618,100.0,7818.417252587406,7416.392638314546,8169.450768262187,42
4966.509182873835,3643.675449100283,70.37968886850277,100.0,2696.8245512877265,9515.199493076409,8441.029713472239,43
4603.320260956785,3969.6960790783787,49.8794752294743,100.0,15089.232594381505,5852.179580281887,8740.925794372215,44
4440.9692686059125,4268.79594134445,35.61023457361381,100.0,10360.97650182722,7711.444363875131,8864.536494277023,45
5659.628820333773,4849.5526057922425,23.483782564794346,100.0,16893.87256684361,3161.583483210213,9075.230147773356,46
6943.342246035272,5442.81440700472,3.6927116918854033,100.0,15918.311873079712,5417.94117801055,9297.296252547134,47
6318.640593622353,5988.038430963615,29.554782598836713,100.0,426.3587565420735,10598.027478825463,9483.63488119748,48
7447.001752559868,6049.687032100387,28.76822791482291,100.0,17337.79023333821,2772.7912430470556,9627.926874845845,49
5986.649164609699,5761.3368484857,42.65448003709392,100.0,3764.0046776007257,9585.744287008129,9667.454600386247,50
6009.52246638036,4804.373934814248,45.795651176773646,100.0,7708.303515017937,9421.965102830201,9512.818371333402,51
5856.606539997591,4904.290203417402,45.45962005609505,100.0,11908.787648917736,6640.110263770299,9439.1048530883,52
5218.801852833016,4594.197846716684,28.01082626304526,100.0,5481.243444222537,10453.53962612094,9277.910643177489,53
6208.503909879022,4707.906717126861,35.41302863687048,100.0,11263.594674510736,7043.396130332716,9314.553481264913,54
6211.780495737558,5324.217673582261,25.240446887880786,100.0,403.79018760416943,11816.50426656156,9358.258267031288,55
5995.081937516297,4859.6715341258905,28.00527706582855,100.0,18478.382023904036,3361.7932513810442,9395.263901520006,56
5229.2086291755495,5031.556331315162,61.87281891831326,100.0,1280.4951994221246,10286.46434660853,9486.14626979064,57
6083.285664047568,4815.0980483688245,29.94287169055883,100.0,10251.850274830516,7115.041300408434,9541.678411714725,58
5865.69494661649,4459.218088111078,27.31912095932257,100.0,1440.336860517213,12042.422488998074,9479.297847797501,59
4607.164516723488,4508.9742362601655,61.77256875054367,100.0,2520.712602593076,10740.809815107414,9526.181427740463,60
6531.294774702274,4977.0362222670465,35.06732225702568,100.0,11291.730274696592,6406.743937289048,9663.977458664604,61
5111.171894541351,3889.641956829251,32.33762555955662,100.0,10194.459430266123,7035.187085399602,9746.304437713057,62
5286.516223117273,4354.7533557546685,61.830416293647694,100.0,14295.035439436895,5678.489600497113,9611.07264531686,63
6356.6830920560105,4871.1367239579595,31.072452020786077,100.0,19433.267868450697,2133.6213314777033,9459.675669328592,64
5298.889533688441,4696.066964114925,25.671902802931427,100.0,5724.1457029378325,8225.988072245951,9397.096884215553,65
5834.788998932323,4454.287992788355,29.639778969452045,100.0,14931.82057027196,5964.9006817249165,9468.029168099398,66
5426.413871720655,4745.458223713616,30.725294850309204,100.0,5251.10480679223,8935.971427692712,9566.27307682723,67
4993.00857741018,4866.623715987198,59.72480924490775,100.0,16530.111140522644,3982.413801732064,9570.647437271704,68
5621.620090491149,4925.67558361702,50.338236378513514,100.0,13804.933040302622,5117.837959770413,9562.083508500342,69
6538.048016598401,5465.229072102602,41.04900381595502,100.0,3767.7276575509145,9512.624889507435,9513.363490769967,70
4828.141226376163,4512.443122027033,48.75818218582273,100.0,17485.35550598866,5063.333982462624,9605.405616718508,71
5017.784798885548,4554.266742334028,40.87593630252613,100.0,6317.81650959206,9450.34718556489,9518.853042550378,72
5301.158570490202,5164.124908763451,60.27778888800854,100.0,12150.543591864278,5965.596363124049,9380.360532803585,73
6728.976714750757,5336.281436722105,37.21191060567854,100.0,18534.29331823577,2407.904730883051,9258.783124637124,74
6159.095292855446,5140.74194177449,21.361188321750316,100.0,6075.444064370435,9930.393241162916,9216.114524207529,75
6423.998660855813,5097.35037450243,31.29838474399491,100.0,15629.008019556939,5631.817250332643,9174.485690005007,76
5528.573483819813,4769.876805948981,53.454934302580035,100.0,11433.82647017458,7655.330766605472,8998.509637190351,77
6763.782513157227,5310.595246946047,39.628596050928905,100.0,12744.45161720199,6468.282566390368,9112.520341316835,78
4573.473629431839,4298.77578140445,33.271274057478664,100.0,16963.217298697382,4719.327026519709,9045.496440194467,79
5909.300534273838,4525.384363108077,47.346468088277625,100.0,19039.99874991546,4205.296165825487,8948.184527406318,80
6279.273125669511,4801.417989089346,41.16915728636148,100.0,482.33107584482184,11994.522674910071,8890.67413681114,81
6111.112921882917,5646.214010929538,37.31780745921593,100.0,17439.617533348242,3605.540051263366,8748.000605635458,82
5533.620673454691,4701.0180661177155,30.041585503821757,100.0,13767.791827343231,5562.210439086456,8852.238666681646,83
6808.268612681574,5617.273384330352,22.47395108268318,100.0,16139.180901679783,5620.3309394022845,8821.962557318593,84
5884.2571923237965,5796.639578506048,50.527325684939626,100.0,9725.890988648165,7872.113836119465,8791.465080528675,85
5376.2264669308015,4678.740952067404,64.42649030332161,100.0,19251.628093367097,2969.254933613122,8877.517825193961,86
5757.504200770224,5222.496481803376,50.23894708513888,100.0,12912.751851096471,5017.8444987245575,8894.317105470844,87
6319.209275118023,5020.002905289234,24.219018763581744,100.0,14111.379415400304,4096.713435899802,8815.846769002985,88
5721.152872898281,4323.40200820146,35.310738753791796,100.0,17008.555308588842,4525.972061127292,8715.868994879695,89
5376.302371824028,5157.397870324873,23.928593682672545,100.0,380.09837383036205,12543.82115545275,8667.146737241443,90
5853.624633094824,4472.406403238894,31.1175637117214,100.0,3150.464993270759,9643.721926101302,8677.327604827986,91
6312.26584516607,4741.421347638154,43.509572258369815,100.0,10287.230738549746,5807.4302786339185,8619.064017023893,92
5052.607655281619,4414.315986874669,30.288892354541357,100.0,6490.755587306489,9302.235017307805,8623.722617909101,93
4924.773728335904,4095.671970863129,65.52272560979637,100.0,14776.493172662515,4394.887560359703,8615.357302475457,94
5083.525959084031,4768.9248574072235,27.426941665119223,100.0,9180.875979194663,6233.88852591303,8710.753387716803,95
6171.472728297574,5082.841313335411,33.33827184034706,100.0,19096.760558022146,3617.033882254772,8730.594477212326,96
5653.750320722403,5017.769666876016,63.65518310539138,100.0,5491.847583588687,9290.05805453293,8823.441091467646,97
